order_id,order_date,product_id,product_name,category,supplier_name,warehouse,stock_quantity,order_quantity,cost_price,selling_price,delivery_days,region,Revenue,Cost,Profit,Inventory_Turnover,Stockout
ORD003010,2024-11-09,P250,Notebook,Maintenance,Global Distributors,Pune WH,443.0,188.0,176.09,135.42,7.0,West,25458.96,33104.92,-7645.959999999999,0.42437923250564336,0
ORD003191,,P269,Pen,Utilities,LMN Corp,Pune WH,923.0,1.0,204.73,179.5,8.0,North,179.5,204.73,-25.22999999999999,0.0010834236186348862,0
ORD003192,,P192,Notebook,Utilities,LMN Corp,Delhi WH,577.0,111.0,17.59,255.88,7.0,West,28402.68,1952.49,26450.19,0.1923743500866551,0
ORD003193,2024-07-20,P129,Printer Paper,Maintenance,LMN Corp,Pune WH,996.0,0.0,39.93,143.62,7.0,North,0.0,0.0,0.0,0.0,0
ORD003194,,P181,Notebook,Stationary,ABC Supplies,Mumbai WH,602.0,90.0,23.17,99.02,8.0,North,8911.8,2085.3,6826.499999999999,0.14950166112956811,0
ORD003195,2024-02-25,P113,Cleaning Liquid,Stationary,XYZ Traders,Delhi WH,452.0,154.0,,192.78,6.0,North,29688.12,,,0.3407079646017699,0
ORD003196,,P151,Water Bottle,Stationary,LMN Corp,Chennai WH,697.0,112.0,51.71,315.01,1.0,North,35281.119999999995,5791.52,29489.599999999995,0.1606886657101865,0
ORD003197,2024-09-26,P124,Pen,Utilities,LMN Corp,Delhi WH,0.0,177.0,172.82,192.67,6.0,South,34102.59,30589.14,3513.449999999997,inf,1
ORD003198,2024-07-10,P115,Water Bottle,Maintenance,LMN Corp,Chennai WH,177.0,119.0,113.33,182.15,10.0,South,21675.850000000002,13486.27,8189.580000000002,0.672316384180791,0
ORD003199,2024-08-13,P249,Cleaning Liquid,Stationary,ABC Supplies,Mumbai WH,443.0,57.0,36.17,315.41,8.0,West,17978.370000000003,2061.69,15916.680000000002,0.12866817155756208,0
ORD003200,2024-08-01,P278,Water Bottle,Maintenance,XYZ Traders,Pune WH,443.0,138.0,12.92,60.12,10.0,North,8296.56,1782.96,6513.599999999999,0.3115124153498871,0
ORD003181,,P213,Printer Paper,Utilities,LMN Corp,Delhi WH,803.0,179.0,107.8,112.7,10.0,East,20173.3,19296.2,877.0999999999985,0.22291407222914073,0
ORD003182,,P195,Cleaning Liquid,Utilities,ABC Supplies,Pune WH,998.0,119.0,134.56,192.53,1.0,South,22911.07,16012.64,6898.43,0.11923847695390781,0
ORD003183,2024-12-09,P123,Water Bottle,Utilities,ABC Supplies,Pune WH,228.0,166.0,153.79,105.4,6.0,East,17496.4,25529.14,-8032.739999999998,0.7280701754385965,0
ORD003184,,P277,Cleaning Liquid,Stationary,XYZ Traders,Delhi WH,685.0,88.0,55.99,,10.0,North,,4927.12,,0.12846715328467154,0
ORD003185,2024-11-05,P299,Pen,Stationary,ABC Supplies,Delhi WH,472.0,124.0,114.03,130.01,5.0,East,16121.239999999998,14139.72,1981.5199999999986,0.2627118644067797,0
ORD003186,2024-07-27,P245,Cleaning Liquid,Utilities,XYZ Traders,Delhi WH,513.0,118.0,120.5,98.65,6.0,West,11640.7,14219.0,-2578.2999999999993,0.2300194931773879,0
ORD003187,,P268,Cleaning Liquid,Maintenance,ABC Supplies,Delhi WH,456.0,99.0,49.58,137.51,9.0,East,13613.49,4908.42,8705.07,0.21710526315789475,0
ORD003188,2024-12-22,P266,Notebook,Maintenance,Global Distributors,Chennai WH,472.0,3.0,75.3,65.14,6.0,East,195.42000000000002,225.89999999999998,-30.47999999999996,0.006355932203389831,0
ORD003189,2024-08-24,P172,Cleaning Liquid,Stationary,XYZ Traders,Chennai WH,124.0,10.0,,248.05,5.0,West,2480.5,,,0.08064516129032258,0
ORD003190,,P156,Water Bottle,Stationary,Global Distributors,Chennai WH,267.0,78.0,50.98,157.37,2.0,East,12274.86,3976.4399999999996,8298.420000000002,0.29213483146067415,0
ORD003171,2024-02-27,P232,Water Bottle,Stationary,XYZ Traders,Pune WH,443.0,65.0,134.77,316.99,7.0,South,20604.350000000002,8760.050000000001,11844.300000000001,0.14672686230248308,0
ORD003172,,P251,Cleaning Liquid,Stationary,Global Distributors,Chennai WH,937.0,79.0,120.99,345.63,9.0,East,27304.77,9558.21,17746.56,0.08431163287086446,0
ORD003173,,P235,Marker,Stationary,LMN Corp,Delhi WH,671.0,198.0,50.88,340.09,3.0,North,67337.81999999999,10074.24,57263.579999999994,0.29508196721311475,0
ORD003174,2024-07-07,P298,Pen,Stationary,Global Distributors,Pune WH,63.0,122.0,69.1,83.47,5.0,South,10183.34,8430.199999999999,1753.1400000000012,1.9365079365079365,0
ORD003175,2024-09-19,P210,Marker,Utilities,Global Distributors,Delhi WH,604.0,120.0,209.81,216.75,6.0,South,26010.0,25177.2,832.7999999999993,0.1986754966887417,0
ORD003176,,P156,Printer Paper,Utilities,LMN Corp,Mumbai WH,400.0,71.0,32.55,325.67,6.0,North,23122.57,2311.0499999999997,20811.52,0.1775,0
ORD003177,,P211,Notebook,Maintenance,LMN Corp,Delhi WH,238.0,68.0,84.38,,3.0,South,,5737.84,,0.2857142857142857,0
ORD003178,,P299,Printer Paper,Utilities,XYZ Traders,Chennai WH,537.0,0.0,124.29,229.22,5.0,South,0.0,0.0,0.0,0.0,0
ORD003179,,P251,Pen,Maintenance,ABC Supplies,Chennai WH,291.0,83.0,90.77,328.0,9.0,West,27224.0,7533.91,19690.09,0.2852233676975945,0
ORD003180,,P184,Water Bottle,Stationary,XYZ Traders,Chennai WH,393.0,86.0,145.03,330.3,3.0,North,28405.8,12472.58,15933.22,0.21882951653944022,0
ORD003161,2024-06-29,P157,Cleaning Liquid,Maintenance,Global Distributors,Chennai WH,269.0,183.0,186.98,213.09,9.0,West,38995.47,34217.34,4778.130000000005,0.6802973977695167,0
ORD003162,,P114,Water Bottle,Utilities,Global Distributors,Chennai WH,495.0,132.0,160.83,162.66,9.0,West,21471.12,21229.56,241.55999999999767,0.26666666666666666,0
ORD003163,2024-08-30,P189,Notebook,Maintenance,XYZ Traders,Pune WH,443.0,0.0,140.48,205.49,6.0,East,0.0,0.0,0.0,0.0,0
ORD003164,,P150,Pen,Stationary,LMN Corp,Mumbai WH,443.0,57.0,97.59,276.06,3.0,North,15735.42,5562.63,10172.79,0.12866817155756208,0
ORD003165,2024-12-04,P242,Water Bottle,Maintenance,ABC Supplies,Mumbai WH,602.0,15.0,197.81,91.62,6.0,East,1374.3000000000002,2967.15,-1592.85,0.024916943521594685,0
ORD003166,2024-05-12,P243,Pen,Utilities,ABC Supplies,Mumbai WH,443.0,82.0,147.82,165.36,6.0,South,13559.52,12121.24,1438.2800000000007,0.18510158013544017,0
ORD003167,,P234,Pen,Stationary,Global Distributors,Chennai WH,827.0,87.0,120.95,231.14,6.0,North,20109.18,10522.65,9586.53,0.10519951632406288,0
ORD003168,,P163,Printer Paper,Maintenance,ABC Supplies,Mumbai WH,730.0,184.0,199.82,274.23,4.0,East,50458.32000000001,36766.88,13691.44000000001,0.25205479452054796,0
ORD003169,2024-11-08,P291,Notebook,Stationary,XYZ Traders,Delhi WH,443.0,3.0,142.27,172.8,6.0,East,518.4000000000001,426.81000000000006,91.59000000000003,0.006772009029345372,0
ORD003170,,P242,Marker,Maintenance,Global Distributors,Pune WH,71.0,0.0,62.0,203.32,4.0,North,0.0,0.0,0.0,0.0,0
ORD003151,2024-04-05,P154,Marker,Stationary,LMN Corp,Pune WH,142.0,0.0,50.55,,10.0,East,,0.0,,0.0,0
ORD003152,,P181,Cleaning Liquid,Stationary,LMN Corp,Mumbai WH,443.0,18.0,108.79,209.25,5.0,North,3766.5,1958.22,1808.28,0.040632054176072234,0
ORD003153,,P137,Cleaning Liquid,Stationary,XYZ Traders,Mumbai WH,352.0,81.0,129.8,269.91,9.0,South,21862.710000000003,10513.800000000001,11348.910000000002,0.23011363636363635,0
ORD003154,,P289,Printer Paper,Utilities,Global Distributors,Chennai WH,443.0,84.0,,253.13,8.0,North,21262.92,,,0.18961625282167044,0
ORD003155,2024-02-03,P164,Notebook,Maintenance,XYZ Traders,Pune WH,372.0,0.0,19.84,273.65,3.0,East,0.0,0.0,0.0,0.0,0
ORD003156,,P295,Pen,Stationary,XYZ Traders,Delhi WH,443.0,92.0,190.61,348.24,8.0,South,32038.08,17536.120000000003,14501.96,0.2076749435665914,0
