order_id,order_date,product_id,product_name,category,supplier_name,warehouse,stock_quantity,order_quantity,cost_price,selling_price,delivery_days,region
ORD003010,2024/11/09,P250,Notebook,Maintenance,"Global Distributors","Pune WH",?,188,176.09,135.42,7,West
ORD003191,,P269,Pen,Utilities,"LMN Corp","Pune WH",923,1,204.73,179.5,8,North
ORD003192,12/09/2024,P192,Notebook,Utilities,"LMN Corp","Delhi WH",577,111,17.59,255.88,7,West
ORD003193,2024/07/20,P129,"Printer Paper",Maintenance,"LMN Corp","Pune WH",996,0,39.93,143.62,7,North
ORD003194,2024-13-01,P181,Notebook,Stationary,"ABC Supplies","Mumbai WH",602,90,23.17,99.02,8,North
ORD003195,2024/02/25,P113,"Cleaning Liquid",Stationary,"XYZ Traders","Delhi WH",452,154,?,192.78,,North
ORD003196,28/02/2024,P151,"Water Bottle",Stationary,"LMN Corp","Chennai WH",697,112,51.71,315.01,1,North
ORD003197,2024/09/26,P124,Pen,Utilities,"LMN Corp","Delhi WH",-50,177,172.82,192.67,two,South
ORD003198,2024/07/10,P115,"Water Bottle",Maintenance,"LMN Corp","Chennai WH",177,119,113.33,182.15,10,South
ORD003199,2024/08/13,P249,"Cleaning Liquid",Stationary,"ABC Supplies","Mumbai WH",NULL,57,36.17,315.41,8,West
ORD003200,2024/08/01,P278,"Water Bottle",Maintenance,"XYZ Traders","Pune WH",?,138,12.92,60.12,10,North
ORD003181,,P213,"Printer Paper",Utilities,"LMN Corp","Delhi WH",803,179,107.8,112.7,10,East
ORD003182,2024-13-01,P195,"Cleaning Liquid",Utilities,"ABC Supplies","Pune WH",998,119,134.56,192.53,1,South
ORD003183,2024/12/09,P123,"Water Bottle",Utilities,"ABC Supplies","Pune WH",228,166,153.79,105.4,,East
ORD003184,24/10/2024,P277,"Cleaning Liquid",Stationary,"XYZ Traders","Delhi WH",685,88,55.99,NULL,10,North
ORD003185,2024/11/05,P299,Pen,Stationary,"ABC Supplies","Delhi WH",472,124,114.03,130.01,5,East
ORD003186,2024/07/27,P245,"Cleaning Liquid",Utilities,"XYZ Traders","Delhi WH",513,118,120.5,98.65,,West
ORD003187,,P268,"Cleaning Liquid",Maintenance,"ABC Supplies","Delhi WH",456,99,49.58,137.51,9,East
ORD003188,2024/12/22,P266,Notebook,Maintenance,"Global Distributors","Chennai WH",472,3,75.3,65.14,,East
ORD003189,2024/08/24,P172,"Cleaning Liquid",Stationary,"XYZ Traders","Chennai WH",124,10,?,248.05,5,West
ORD003190,2024-13-01,P156,"Water Bottle",Stationary,"Global Distributors","Chennai WH",267,78,50.98,157.37,2,East
ORD003171,2024/02/27,P232,"Water Bottle",Stationary,"XYZ Traders","Pune WH",NULL,65,134.77,316.99,7,South
ORD003172,2024-13-01,P251,"Cleaning Liquid",Stationary,"Global Distributors","Chennai WH",937,79,120.99,345.63,9,East
ORD003173,,P235,Marker,Stationary,"LMN Corp","Delhi WH",671,198,50.88,340.09,3,North
ORD003174,2024/07/07,P298,Pen,Stationary,"Global Distributors","Pune WH",63,122,69.1,83.47,5,South
